14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
12,14,14,14,12,14,14,14,12,14,14,14,14,14,14,14,12,14,14,14,14,14,14,12,14,14,14,14,14,12,14,14,14,14,14,12,14,14,14,14,14,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
10,18,18,18,10,18,18,18,10,18,18,18,32,18,18,18,10,18,18,18,32,18,18,12,18,18,18,32,18,12,18,18,18,32,18,12,18,18,18,32,18,12,18,18,18,14,18,18,18,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
10,18,18,18,10,18,18,18,10,18,18,18,34,18,18,18,10,18,18,18,34,18,18,12,18,18,18,34,18,12,18,18,18,34,18,12,18,18,18,34,18,12,18,18,18,14,18,18,18,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
10,18,18,18,10,18,18,18,10,18,18,18,34,18,18,18,10,18,18,18,34,18,18,12,18,18,18,34,18,12,18,18,18,34,18,12,18,18,18,34,18,12,18,18,18,14,18,18,18,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
10,18,18,18,10,18,18,18,10,18,18,18,34,18,18,18,10,18,18,18,34,18,18,12,18,18,18,34,18,12,18,18,18,34,18,12,18,18,18,34,18,12,18,18,18,14,18,18,18,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
10,18,18,18,10,18,18,18,10,18,18,18,35,18,18,18,10,18,18,18,35,18,18,12,18,18,18,35,18,12,18,18,18,35,18,12,18,18,18,35,18,12,18,18,18,14,18,18,18,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
10,18,18,18,10,18,18,18,10,18,18,18,35,18,18,18,10,18,18,18,35,18,18,12,18,18,18,35,18,12,18,18,18,35,18,12,18,18,18,35,18,12,18,18,18,14,18,18,18,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
10,18,18,18,10,18,18,18,10,18,18,18,35,18,18,18,10,18,18,18,35,18,18,12,18,18,18,35,18,12,18,18,18,35,18,12,18,18,18,35,18,12,18,18,18,14,18,18,18,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
10,18,18,18,10,18,18,18,10,18,18,18,35,18,18,18,10,18,18,18,35,18,18,12,18,18,18,35,18,12,18,18,18,35,18,12,18,18,18,35,18,12,18,18,18,14,18,18,18,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
10,20,20,20,10,20,20,20,10,20,20,18,33,20,20,20,10,20,20,20,33,20,20,12,20,20,20,33,20,12,20,20,20,33,20,12,20,20,18,33,18,12,20,20,18,14,20,20,18,16,20,20,18,18,18,20,18,18,18,20,18,18,20,18,20,18,20,18,20,18,20,18,20,18,20
8,20,20,20,8,20,20,20,8,20,20,18,33,20,20,20,8,20,20,20,33,20,20,10,20,20,20,33,20,10,20,20,20,33,20,10,20,20,18,33,18,12,20,20,18,14,20,20,18,16,20,20,18,18,18,20,18,18,18,20,18,18,20,18,20,18,20,18,20,18,20,18,20,18,20
8,22,22,22,8,22,22,22,8,22,22,20,31,22,22,22,8,22,22,22,31,22,22,10,22,22,22,31,22,10,22,22,22,31,22,10,22,22,20,31,20,12,22,22,20,14,22,22,20,16,22,22,20,18,20,22,20,18,20,22,20,20,22,20,22,20,22,20,22,18,22,18,22,18,22
8,22,22,22,8,22,22,22,8,22,22,20,31,22,22,22,8,22,22,22,31,22,22,10,22,22,22,31,22,10,22,22,22,31,22,10,22,22,20,31,20,12,22,22,20,14,22,22,20,16,22,22,20,18,20,22,20,18,20,22,20,20,22,20,22,20,22,20,22,18,22,18,22,18,22
8,22,22,22,8,22,22,22,8,22,22,20,31,22,22,22,8,22,22,22,31,22,22,10,22,22,22,31,22,10,22,22,22,31,22,10,22,22,20,31,20,12,22,22,20,14,22,22,20,16,22,22,20,18,20,22,20,18,20,22,20,20,22,20,22,20,22,20,22,18,22,18,22,18,22
8,22,22,22,8,22,22,22,8,22,22,20,31,22,22,22,8,22,22,22,31,22,22,10,22,22,22,31,22,10,22,22,22,31,22,10,22,22,20,31,20,12,22,22,20,14,22,22,20,16,22,22,20,18,20,22,20,18,20,22,20,20,22,20,22,20,22,20,22,18,22,18,22,18,22
8,22,22,22,8,22,22,22,8,22,22,20,31,22,22,22,8,22,22,22,31,22,22,10,22,22,22,31,22,10,22,22,22,31,22,10,22,22,20,31,20,12,22,22,20,14,22,22,20,16,22,22,20,18,20,22,20,18,20,22,20,20,22,20,22,20,22,20,22,18,22,18,22,18,22
8,22,22,22,8,22,22,22,8,22,22,20,31,22,22,22,8,22,22,22,31,22,22,10,22,22,22,31,22,10,22,22,22,31,22,10,22,22,20,31,20,12,22,22,20,14,22,22,20,16,22,22,20,18,20,22,20,18,20,22,20,20,22,20,22,20,22,20,22,18,22,18,22,18,22
8,22,22,22,8,22,22,22,8,22,22,20,31,22,22,22,8,22,22,22,31,22,22,10,22,22,22,31,22,10,22,22,22,31,22,10,22,22,20,31,20,12,22,22,20,14,22,22,20,16,22,22,20,18,20,22,20,18,20,22,20,20,22,20,22,20,22,20,22,18,22,18,22,18,22
6,22,22,22,6,22,22,22,6,22,22,20,29,22,22,22,6,22,22,22,29,22,22,8,22,22,22,29,22,10,22,22,22,29,22,10,22,22,20,29,20,12,22,22,20,14,22,22,20,16,22,22,20,18,20,22,20,18,20,22,20,20,22,20,22,20,22,20,22,18,22,18,22,18,22
