6.90362e-310,-0.0244171,0.325217,-0.68085,0.00158404,0.0317209,-0.67111
2.75187,-0.306781,-1.76007,-1.96712,-0.773051,1.30701,1.33318
2.74401,-0.373734,-2.36352,-1.37685,-0.667491,1.38555,2.03485
2.27975,0.089247,-2.66718,-1.73355,-0.192299,1.21589,2.82979
2.38354,-0.0362027,-2.67034,-1.60548,-0.293489,1.29971,2.92383
2.76081,-0.601114,-2.58,-0.948564,-0.643249,1.634,2.4086
2.8242,-0.760139,-2.56031,-0.710507,-0.708371,1.74934,2.35012
-0.325193,0.494469,-2.93297,1.02691,-0.437633,-1.67763,-0.190802
0.237608,0.360074,-2.84072,1.47976,-0.304736,-1.66366,2.88587
0.238747,0.493158,-2.85403,1.30546,-0.321611,-1.78566,2.82625
0.229363,0.759482,-2.87826,0.900993,-0.325772,-2.01979,2.68998
