6.94878e-310,-0.0245126,0.313075,-0.00152785,0.414478,-0.0997789,0.344069
0.928706,0.0860355,-0.122304,-1.9681,-0.486137,1.1311,1.07848
0.880743,0.1905,-0.152584,-1.84597,-0.441146,1.18224,0.970682
0.799542,0.246437,-0.169134,-1.71637,-0.326915,1.24925,0.77975
0.752783,0.32966,-0.180023,-1.60367,-0.291525,1.29922,0.697024
0.691966,0.427976,-0.180519,-1.46335,-0.237425,1.38736,0.58875
0.631874,0.505709,-0.177914,-1.33053,-0.188697,1.45479,0.506996
0.573073,0.645936,-0.171297,-1.13603,-0.150409,1.59513,0.422488
0.52482,0.793182,-0.165003,-0.928631,-0.132097,1.73589,0.356145
0.477514,0.963627,-0.158422,-0.672368,-0.121433,1.90214,0.291567
0.377321,0.858852,-0.0270742,-0.754955,-0.161454,2.04523,-0.374448
