295,172
264,194
238,207
207,223
192,230
170,257
169,251
171,249
147,267
156,261
138,273
123,285
138,280
127,282
128,278
113,289
136,269
144,265
108,298
108,301
107,297
112,294
109,292
147,266
124,276
112,294
120,293
137,276
149,264
127,286
139,278
150,263
159,249
144,266
160,256
159,249
136,272
176,237
189,220
185,228
180,233
178,233
158,249
164,244
156,255
80,372
78,365
80,354
80,354
78,348
72,354
72,356
70,357
69,364
62,362
55,364
52,369
47,377
41,389
36,389
31,394
34,392
28,393
33,396
32,394
28,398
31,401
29,404
30,400
27,400
27,395
42,386
36,404
36,395
45,382
47,389
53,369
58,376
64,371
67,362
72,353
78,355
87,345
103,328
109,319
116,311
133,305
147,275
158,289
157,285
126,317
140,313
126,286
102,335
95,340
79,358
69,368
65,372
47,386
46,396
36,401
29,412
25,412
23,418
19,418
13,418
15,418
9,428
7,434
7,427
6,431
6,432
6,431
6,429
7,421
6,431
6,422
7,430
7,428
10,426
9,433
8,427
13,424
16,421
21,411
25,405
35,396
40,397
44,392
53,382
57,379
66,378
66,386
69,386
67,389
58,398
62,394
62,391
60,388
46,388
38,398
29,407
24,416
14,419
10,427
5,432
5,432
3,434
2,432
2,431
1,439
2,433
0,434
0,431
0,432
0,434
0,431
0,437
0,438
0,437
3,438
1,434
4,434
4,439
5,436
6,431
7,433
11,426
17,420
21,416
23,414
29,410
39,398
47,390
58,379
65,372
80,361
89,326
150,300
113,331
101,346
139,304
71,343
58,369
42,399
36,397
23,412
15,422
12,422
12,418
5,431
3,423
3,435
2,432
0,437
0,439
0,437
0,433
0,437
0,437
0,435
0,435
0,438
1,436
1,433
1,427
1,430
1,440
0,435
0,432
0,428
0,434
0,434
0,429
1,432
3,431
4,429
10,424
9,418
17,417
33,403
41,398
49,404
50,406
44,412
35,411
34,408
30,392
23,400
12,406
2,411
3,408
10,396
10,405
10,402
13,392
12,389
15,387
16,386
14,389
14,383
14,382
11,390
11,389
8,388
9,387
7,384
12,385
9,382
8,390
8,385
7,402
6,397
4,391
3,403
2,405
0,413
0,409
0,419
0,414
2,414
2,407
3,410
11,401
13,401
23,390
28,392
41,352
75,330
79,325
