-87.4256,  71.4568,  143.064,  -118.23, -78.3745,  118.315, -157.788, 106, 60000, 13, 37
-45.8059 -13.1557  33.5084 -105.833 -8.77374  57.1759  122.357, 169, 765, 10, inf
-82.8637 -22.7593  67.2338 -101.921  7.84721  58.1412  98.2655, 164, 936, 10, inf
64.2543  3.63768 -44.3841 -100.074 -27.6198  63.0667  106.354, 180, 384, 11, inf
92.725  13.0335 -71.4061 -102.183  -18.315  59.7841  89.3216, 187, 228, 13, 30
86.2553  9.78833 -53.2759 -106.274 -26.0409  60.9657  86.0551, 182, 13, 29
57.6961  4.54579 -4.33847  -119.04 -35.6659  63.4034  76.2542, 173, 3102, 13, 28
57.6962  4.54579 -4.33848  -119.04 -35.6659  63.4034  76.2542, 173, 2240, 13, 28
